  M    Photons_mean    Photons_sig    Delta_q_mean    Delta_q_sig    Delta_p_mean    Delta_p_sig
  0         1.63936    2.26263e-13        0.45        1.05194e-13        0.47838     4.46865e-14
  1         2.73669    2.45923            0.529791    0.129525           0.634979    0.113948
  2         3.77858    3.94692            0.534611    0.111162           0.686505    0.12765
  3         4.85255    5.26164            0.535722    0.1078             0.697624    0.123851
  4         5.87931    6.50878            0.536763    0.107552           0.701827    0.120529
  5         6.90816    7.62256            0.536617    0.105276           0.704612    0.120878
  6         7.96137    8.69658            0.534401    0.105418           0.703684    0.11924
  7         8.96064    9.61216            0.533853    0.104571           0.706866    0.12016
  8        10.0868    10.7936             0.535917    0.107214           0.704971    0.118306
  9        11.1354    11.8727             0.535439    0.104102           0.702659    0.118106
 10        12.1389    12.7706             0.535584    0.105131           0.706698    0.118658
