  n_steps    logical_error_rate        std
        1            0.00290115  0.006
        2            0.0140814   0.0373064
        3            0.0338645   0.082
        4            0.0584725   0.116232
        5            0.0818622   0.142
        6            0.106648    0.161313
        7            0.130775    0.18254
        8            0.153596    0.195696
        9            0.169888    0.202
       10            0.188729    0.21
