  n_steps    logical_error_rate        std
        1             0.0503303  0.0302337
        2             0.150874   0.192836
        3             0.214003   0.208312
        4             0.254978   0.20777
        5             0.295458   0.21277
        6             0.326708   0.21577
        7             0.350246   0.216696
        8             0.372433   0.220231
        9             0.39195    0.221696
       10             0.404736   0.223463
