  n_steps    logical_error_rate        std
        1             0.0265452  0.022
        2             0.0676539  0.0667043
        3             0.116301   0.116232
        4             0.163501   0.155643
        5             0.205597   0.181166
        6             0.245215   0.200165
        7             0.274991   0.210231
        8             0.303613   0.21754
        9             0.331536   0.224929
       10             0.358455   0.23054
