  n_steps    logical_error_rate       std
        1            0.00290115  0.006
        2            0.0326972   0.138698
        3            0.0552065   0.161605
        4            0.0797832   0.178464
        5            0.104237    0.19654
        6            0.126255    0.202515
        7            0.146907    0.21177
        8            0.166506    0.216463
        9            0.182529    0.221696
       10            0.198116    0.22277
