  n_steps    logical_error_rate        std
        1             0.0265452  0.022
        2             0.067385   0.0649449
        3             0.112296   0.102465
        4             0.151413   0.126464
        5             0.182624   0.136698
        6             0.209049   0.142231
        7             0.226922   0.142
        8             0.243199   0.14177
        9             0.25679    0.141
       10             0.268783   0.14
