  n_steps    logical_error_rate        std
        1             0.0108397  0.0137757
        2             0.0348455  0.051
        3             0.0682416  0.0978688
        4             0.10432    0.138464
        5             0.136593   0.163411
        6             0.163692   0.179085
        7             0.194083   0.197401
        8             0.219702   0.209
        9             0.242064   0.21777
       10             0.260435   0.224463
