  n_steps    logical_error_rate        std
        1             0.0108397  0.0137757
        2             0.0348455  0.051
        3             0.0672543  0.0933163
        4             0.101935   0.13164
        5             0.134722   0.15886
        6             0.165537   0.183
        7             0.198177   0.203231
        8             0.22614    0.217083
        9             0.251156   0.22777
       10             0.273718   0.237629
