  n_steps    logical_error_rate        std
        1            0.00290115  0.006
        2            0.0139098   0.0349098
        3            0.0325788   0.0744663
        4            0.0554385   0.103465
        5            0.0750484   0.120464
        6            0.0966231   0.13477
        7            0.113968    0.14277
        8            0.13175     0.149933
        9            0.144269    0.152541
       10            0.15843     0.155697
