  n_steps    logical_error_rate        std
        1             0.0503303  0.0302337
        2             0.108163   0.074703
        3             0.162718   0.107
        4             0.203284   0.123231
        5             0.234812   0.129
        6             0.257029   0.132
        7             0.271123   0.130464
        8             0.279995   0.128
        9             0.289015   0.127464
       10             0.293524   0.128
