  n_steps    logical_error_rate        std
        1             0.0108397  0.0137757
        2             0.0634578  0.168231
        3             0.104494   0.199231
        4             0.135771   0.207406
        5             0.166314   0.21754
        6             0.187128   0.217696
        7             0.212681   0.22354
        8             0.229683   0.221732
        9             0.24608    0.221856
       10             0.263083   0.226929
