  n_steps    logical_error_rate        std
        1             0.0503303  0.0302337
        2             0.10817    0.074703
        3             0.164026   0.111
        4             0.210177   0.138698
        5             0.25412    0.163
        6             0.28959    0.178931
        7             0.319683   0.19193
        8             0.345939   0.203
        9             0.370083   0.2094
       10             0.388316   0.21577
