  n_steps    logical_error_rate        std
        1             0.0108397  0.0137757
        2             0.0348455  0.051
        3             0.0668566  0.0915423
        4             0.0984979  0.120642
        5             0.125423   0.135541
        6             0.147215   0.14477
        7             0.168001   0.15
        8             0.185419   0.152541
        9             0.199259   0.153
       10             0.209668   0.15277
