  n_steps    logical_error_rate        std
        1            0.00290115  0.006
        2            0.0140814   0.0373064
        3            0.0336139   0.08
        4            0.0597998   0.120699
        5            0.0866765   0.156231
        6            0.118677    0.188084
        7            0.149499    0.216083
        8            0.180392    0.236634
        9            0.204316    0.249696
       10            0.228002    0.258463
