  n_steps    logical_error_rate        std
        1             0.0503303  0.0302337
        2             0.109868   0.0832318
        3             0.17208    0.133
        4             0.224785   0.166231
        5             0.272356   0.187312
        6             0.313518   0.20377
        7             0.34658    0.214696
        8             0.371343   0.219463
        9             0.394753   0.222929
       10             0.41353    0.227231
