  n_steps    logical_error_rate       std
        1             0.0265452  0.022
        2             0.108393   0.19493
        3             0.158677   0.210636
        4             0.198041   0.215405
        5             0.234589   0.221399
        6             0.262283   0.21954
        7             0.285485   0.22077
        8             0.306974   0.220856
        9             0.328394   0.222696
       10             0.347412   0.223083
