n_steps	 logical_error_rate	 std 
1.000 	 0.025499 	 0.022  
2.000 	 0.110633 	 0.198  
3.000 	 0.162721 	 0.216  
4.000 	 0.197126 	 0.210  
5.000 	 0.245395 	 0.226  
6.000 	 0.260660 	 0.218  
7.000 	 0.282756 	 0.220  
8.000 	 0.303162 	 0.217  
9.000 	 0.330118 	 0.225  
10.000 	 0.342824 	 0.220  
