n_steps	 logical_error_rate	 std 
1.000 	 0.010652 	 0.013  
2.000 	 0.034724 	 0.051  
3.000 	 0.064902 	 0.091  
4.000 	 0.098730 	 0.127  
5.000 	 0.133754 	 0.155  
6.000 	 0.164306 	 0.183  
7.000 	 0.200090 	 0.204  
8.000 	 0.220588 	 0.214  
9.000 	 0.250580 	 0.227  
10.000 	 0.266388 	 0.233  
