n_steps	 logical_error_rate	 std 
1.000 	 0.010652 	 0.013  
2.000 	 0.034724 	 0.051  
3.000 	 0.065457 	 0.094  
4.000 	 0.103017 	 0.140  
5.000 	 0.135061 	 0.158  
6.000 	 0.160991 	 0.176  
7.000 	 0.198250 	 0.202  
8.000 	 0.216719 	 0.209  
9.000 	 0.241592 	 0.217  
10.000 	 0.259630 	 0.226  
