n_steps	 logical_error_rate	 std 
1.000 	 0.025499 	 0.022  
2.000 	 0.068485 	 0.068  
3.000 	 0.113284 	 0.104  
4.000 	 0.154375 	 0.128  
5.000 	 0.189082 	 0.139  
6.000 	 0.209137 	 0.143  
7.000 	 0.225698 	 0.142  
8.000 	 0.242617 	 0.141  
9.000 	 0.255717 	 0.141  
10.000 	 0.268296 	 0.140  
