n_steps	 logical_error_rate	 std 
1.000 	 0.050648 	 0.031  
2.000 	 0.109170 	 0.077  
3.000 	 0.160955 	 0.107  
4.000 	 0.204449 	 0.124  
5.000 	 0.233586 	 0.129  
6.000 	 0.259637 	 0.132  
7.000 	 0.267815 	 0.132  
8.000 	 0.277806 	 0.128  
9.000 	 0.285605 	 0.129  
10.000 	 0.293547 	 0.128  
