n_steps	 logical_error_rate	 std 
1.000 	 0.050648 	 0.031  
2.000 	 0.110730 	 0.084  
3.000 	 0.170241 	 0.133  
4.000 	 0.226297 	 0.167  
5.000 	 0.268866 	 0.185  
6.000 	 0.315929 	 0.203  
7.000 	 0.343755 	 0.217  
8.000 	 0.369057 	 0.221  
9.000 	 0.392788 	 0.226  
10.000 	 0.417256 	 0.228  
