n_steps	 logical_error_rate	 std 
1.000 	 0.002935 	 0.006  
2.000 	 0.012756 	 0.031  
3.000 	 0.034527 	 0.080  
4.000 	 0.062749 	 0.123  
5.000 	 0.087135 	 0.157  
6.000 	 0.115616 	 0.185  
7.000 	 0.147008 	 0.213  
8.000 	 0.186884 	 0.242  
9.000 	 0.200613 	 0.252  
10.000 	 0.233553 	 0.260  
