n_steps	 logical_error_rate	 std 
1.000 	 0.010652 	 0.013  
2.000 	 0.034724 	 0.051  
3.000 	 0.064562 	 0.090  
4.000 	 0.095381 	 0.116  
5.000 	 0.125475 	 0.134  
6.000 	 0.146148 	 0.144  
7.000 	 0.169303 	 0.150  
8.000 	 0.181933 	 0.151  
9.000 	 0.199297 	 0.153  
10.000 	 0.207336 	 0.152  
