n_steps	 logical_error_rate	 std 
1.000 	 0.050648 	 0.031  
2.000 	 0.156638 	 0.202  
3.000 	 0.210007 	 0.206  
4.000 	 0.255632 	 0.207  
5.000 	 0.293238 	 0.212  
6.000 	 0.329135 	 0.215  
7.000 	 0.347310 	 0.219  
8.000 	 0.369731 	 0.221  
9.000 	 0.388132 	 0.224  
10.000 	 0.410150 	 0.225  
