n_steps	 logical_error_rate	 std 
1.000 	 0.025499 	 0.022  
2.000 	 0.068607 	 0.069  
3.000 	 0.116879 	 0.117  
4.000 	 0.168170 	 0.161  
5.000 	 0.214068 	 0.185  
6.000 	 0.248159 	 0.204  
7.000 	 0.274301 	 0.211  
8.000 	 0.301925 	 0.216  
9.000 	 0.333541 	 0.228  
10.000 	 0.355505 	 0.229  
