n_steps	 logical_error_rate	 std 
1.000 	 0.002935 	 0.006  
2.000 	 0.032531 	 0.141  
3.000 	 0.059318 	 0.170  
4.000 	 0.083057 	 0.180  
5.000 	 0.103652 	 0.195  
6.000 	 0.120200 	 0.194  
7.000 	 0.146348 	 0.211  
8.000 	 0.170068 	 0.218  
9.000 	 0.179514 	 0.224  
10.000 	 0.201571 	 0.222  
