n_steps	 logical_error_rate	 std 
1.000 	 0.025499 	 0.022  
2.000 	 0.068485 	 0.068  
3.000 	 0.114162 	 0.108  
4.000 	 0.158606 	 0.139  
5.000 	 0.199494 	 0.160  
6.000 	 0.229945 	 0.179  
7.000 	 0.258035 	 0.192  
8.000 	 0.282944 	 0.197  
9.000 	 0.317397 	 0.215  
10.000 	 0.338116 	 0.217  
