n_steps	 logical_error_rate	 std 
1.000 	 0.050648 	 0.031  
2.000 	 0.109170 	 0.077  
3.000 	 0.162321 	 0.111  
4.000 	 0.212231 	 0.141  
5.000 	 0.253000 	 0.163  
6.000 	 0.294749 	 0.182  
7.000 	 0.317608 	 0.195  
8.000 	 0.342528 	 0.203  
9.000 	 0.369331 	 0.214  
10.000 	 0.387714 	 0.215  
