n_steps	 logical_error_rate	 std 
1.000 	 0.002935 	 0.006  
2.000 	 0.012756 	 0.031  
3.000 	 0.033728 	 0.076  
4.000 	 0.058130 	 0.105  
5.000 	 0.075653 	 0.122  
6.000 	 0.094830 	 0.134  
7.000 	 0.113276 	 0.142  
8.000 	 0.135017 	 0.153  
9.000 	 0.139277 	 0.151  
10.000 	 0.163036 	 0.158  
