n_steps	 logical_error_rate	 std 
1.000 	 0.010652 	 0.013  
2.000 	 0.063464 	 0.169  
3.000 	 0.102813 	 0.200  
4.000 	 0.130369 	 0.202  
5.000 	 0.165646 	 0.216  
6.000 	 0.187442 	 0.220  
7.000 	 0.212983 	 0.222  
8.000 	 0.220536 	 0.214  
9.000 	 0.242731 	 0.218  
10.000 	 0.263898 	 0.230  
