  M    Photons_mean    Photons_sig    Delta_q_mean    Delta_q_sig    Delta_p_mean    Delta_p_sig
  0         5.06234    9.05054e-13        0.3         5.02376e-14        0.300344    3.20854e-14
  1         6.9079     2.45959            0.301268    0.0878681          0.381865    0.0239741
  2         6.96825    2.56668            0.299543    0.0823986          0.411903    0.0595501
  3         6.96278    2.61064            0.298302    0.0794168          0.419175    0.0626236
  4         7.00423    2.62661            0.299169    0.0833265          0.421025    0.0643014
  5         6.95809    2.58752            0.298786    0.0834169          0.423641    0.0686538
  6         6.99633    2.62456            0.298647    0.0820971          0.422449    0.0659383
  7         6.97987    2.57475            0.299946    0.0863642          0.421709    0.0650135
  8         6.9383     2.56702            0.299088    0.0851029          0.421858    0.0640623
  9         6.98711    2.61244            0.298955    0.083574           0.422362    0.0646791
 10         6.93726    2.57904            0.298722    0.0803452          0.42236     0.0656001
