  M    Photons_mean    Photons_sig    Delta_q_mean    Delta_q_sig    Delta_p_mean    Delta_p_sig
0           2.44182    2.34479e-13        0.4         7.16094e-14        0.411582    4.55191e-15
0.5         3.29802    1.30548            0.565687    1.31534e-06        0.356973    0.0761683
1           4.08828    3.16378            0.457523    0.12809            0.540574    0.0802146
1.5         4.86958    3.97751            0.607925    0.108783           0.436849    0.117119
2           5.6009     5.00394            0.46363     0.115209           0.593715    0.113408
2.5         6.34587    5.84044            0.61576     0.11031            0.45562     0.111314
3           7.08924    6.78067            0.465606    0.112636           0.607638    0.111807
3.5         7.90177    7.65335            0.615513    0.106491           0.459186    0.107272
4           8.57496    8.28995            0.464767    0.110969           0.611428    0.109765
4.5         9.33863    9.18066            0.6155      0.108588           0.462259    0.107691
5          10.1424     9.94199            0.463644    0.109197           0.61289     0.109941
