  M    P_memoryless    s_P_memoryless    P_MLD_memoryless    s_P_MLD_memoryless
  1       0.0910056          0.125762           0.0890363              0.119169
  2       0.162212           0.222459           0.116028               0.127099
  3       0.222261           0.26563            0.139316               0.132688
  4       0.271639           0.287517           0.158719               0.135433
  5       0.310402           0.297629           0.17521                0.137992
  6       0.343019           0.301833           0.190215               0.14064
  7       0.370215           0.302771           0.202874               0.142233
  8       0.393143           0.301946           0.213008               0.142215
  9       0.412568           0.30053            0.221192               0.142229
 10       0.426479           0.297428           0.228825               0.142593
