  M    P_memoryless    s_P_memoryless    P_MLD_memoryless    s_P_MLD_memoryless
  1       0.0222381         0.0659272           0.0221555             0.0653261
  2       0.046672          0.146725            0.0296447             0.0761607
  3       0.0680914         0.191092            0.0348968             0.082098
  4       0.0905417         0.225158            0.0411416             0.0883244
  5       0.111221          0.252495            0.0457307             0.0924272
  6       0.130677          0.271884            0.0518863             0.09754
  7       0.150466          0.28866             0.0586198             0.103354
  8       0.168621          0.302774            0.0641621             0.107374
  9       0.187496          0.316921            0.0688286             0.110405
 10       0.20466           0.327465            0.0740521             0.114139
