  M    P_memoryless    s_P_memoryless    P_MLD_memoryless    s_P_MLD_memoryless
  1       0.0905334          0.125444           0.0885594              0.118809
  2       0.162537           0.222983           0.116163               0.127561
  3       0.221856           0.265082           0.139398               0.132661
  4       0.270759           0.287371           0.158435               0.135893
  5       0.310029           0.297091           0.175724               0.138554
  6       0.343328           0.301843           0.190482               0.140904
  7       0.3701             0.302762           0.202864               0.1423
  8       0.393168           0.302477           0.212536               0.142373
  9       0.411504           0.300853           0.220521               0.142253
 10       0.42533            0.29778            0.228123               0.142587
