  M    P_memoryless    s_P_memoryless    P_MLD_memoryless    s_P_MLD_memoryless
  1       0.0223439         0.0667239           0.0221966             0.0656608
  2       0.0478949         0.148481            0.03057               0.0779813
  3       0.071264          0.195665            0.0362527             0.083891
  4       0.0942242         0.22998             0.0423408             0.0899594
  5       0.115144          0.256052            0.047403              0.093984
  6       0.135168          0.275909            0.0534892             0.099278
  7       0.154317          0.293016            0.0586348             0.102724
  8       0.17122           0.306006            0.0637529             0.106884
  9       0.188864          0.31761             0.0694096             0.110785
 10       0.205005          0.327534            0.074108              0.113652
